pokemon,lvl,move
Cubone,12,Headbutt
Cubone,16,Retaliate
Cubone,20,Fling
Cubone,24,Stomping Tantrum
Cubone,29,Bone Rush
Cubone,32,Focus Energy
Cubone,36,Endeavor
Cubone,40,Bonemerang
Cubone,44,Thrash
Cubone,48,Double-Edge
Marowak,1,Mud-Slap
Marowak,1,Growl
Marowak,1,Tail Whip
Marowak,1,False Swipe
Marowak,12,Headbutt
Marowak,16,Retaliate
Marowak,20,Fling
Marowak,24,Stomping Tantrum
Marowak,31,Bone Rush
Marowak,36,Focus Energy
Marowak,42,Endeavor
Marowak,48,Bonemerang
Marowak,54,Thrash
Marowak,60,Double-Edge
Hitmonlee,1,Low Sweep
Hitmonlee,1,Tackle
Hitmonlee,1,Helping Hand
Hitmonlee,1,Fake Out
Hitmonlee,1,Focus Energy
Hitmonlee,Evo.,Brick Break
Hitmonlee,4,Double Kick
Hitmonlee,8,Low Kick
Hitmonlee,12,Endure
Hitmonlee,16,Sucker Punch
Hitmonlee,21,Wide Guard
Hitmonlee,24,Blaze Kick
Hitmonlee,28,Feint
Hitmonlee,32,Mega Kick
Hitmonlee,36,Close Combat
Hitmonlee,40,Reversal
Hitmonlee,44,High Jump Kick
Hitmonlee,50,Axe Kick
Hitmonchan,1,Feint
Hitmonchan,1,Tackle
Hitmonchan,1,Helping Hand
Hitmonchan,1,Fake Out
Hitmonchan,1,Focus Energy
Hitmonchan,Evo.,Drain Punch
Hitmonchan,4,Mach Punch
Hitmonchan,8,Vacuum Wave
Hitmonchan,12,Detect
Hitmonchan,16,Bullet Punch
Hitmonchan,21,Quick Guard
Hitmonchan,24,Thunder Punch
Hitmonchan,24,Ice Punch
Hitmonchan,24,Fire Punch
Hitmonchan,28,Agility
Hitmonchan,32,Mega Punch
Hitmonchan,36,Close Combat
Hitmonchan,40,Counter
Hitmonchan,44,Focus Punch
Lickitung,1,Lick
Lickitung,1,Defense Curl
Lickitung,6,Rollout
Lickitung,12,Supersonic
Lickitung,18,Wrap
Lickitung,24,Disable
Lickitung,30,Stomp
Lickitung,36,Knock Off
Lickitung,42,Screech
Lickitung,48,Slam
Lickitung,54,Power Whip
Lickitung,60,Belly Drum
Koffing,1,Poison Gas
Koffing,1,Tackle
Koffing,4,Smog
Koffing,8,Smokescreen
Koffing,12,Clear Smog
Koffing,16,Assurance
Koffing,20,Sludge
Koffing,24,Haze
Koffing,28,Self-Destruct
Koffing,32,Sludge Bomb
Koffing,36,Toxic
Koffing,40,Belch
Koffing,44,Explosion
Koffing,48,Memento
Koffing,52,Destiny Bond
Weezing,1,Heat Wave
Weezing,1,Poison Gas
Weezing,1,Tackle
Weezing,1,Smog
Weezing,1,Smokescreen
Weezing,Evo.,Double Hit
Weezing,12,Clear Smog
Weezing,16,Assurance
Weezing,20,Sludge
Weezing,24,Haze
Weezing,28,Self-Destruct
Weezing,32,Sludge Bomb
Weezing,38,Toxic
Weezing,44,Belch
Weezing,50,Explosion
Weezing,56,Memento
Weezing,62,Destiny Bond
Rhyhorn,1,Tackle
Rhyhorn,1,Tail Whip
Rhyhorn,5,Smack Down
Rhyhorn,10,Bulldoze
Rhyhorn,15,Horn Attack
Rhyhorn,20,Scary Face
Rhyhorn,25,Stomp
Rhyhorn,30,Rock Blast
Rhyhorn,35,Drill Run
Rhyhorn,40,Take Down
Rhyhorn,45,Earthquake
Rhyhorn,50,Stone Edge
Rhyhorn,55,Megahorn
Rhyhorn,60,Horn Drill
Rhydon,1,Tackle
Rhydon,1,Tail Whip
Rhydon,1,Smack Down
Rhydon,1,Bulldoze
Rhydon,Evo.,Hammer Arm
Rhydon,15,Horn Attack
Rhydon,20,Scary Face
Rhydon,25,Stomp
Rhydon,30,Rock Blast
Rhydon,35,Drill Run
Rhydon,40,Take Down
Rhydon,47,Earthquake
Rhydon,54,Stone Edge
Rhydon,61,Megahorn
Rhydon,68,Horn Drill
Chansey,1,Sweet Kiss
Chansey,1,Disarming Voice
Chansey,1,Covet
Chansey,1,Charm
Chansey,1,Pound
Chansey,1,Copycat
Chansey,1,Defense Curl
Chansey,4,Tail Whip
Chansey,8,Echoed Voice
Chansey,12,Life Dew
Chansey,16,Sing
Chansey,20,Fling
Chansey,24,Take Down
Chansey,28,Heal Pulse
Chansey,32,Helping Hand
Chansey,36,Light Screen
Chansey,40,Double-Edge
Chansey,44,Soft-Boiled
Chansey,48,Last Resort
Chansey,52,Healing Wish
Tangela,1,Absorb
Tangela,1,Bind
Tangela,4,Stun Spore
Tangela,8,Growth
Tangela,12,Mega Drain
Tangela,16,Vine Whip
Tangela,20,Poison Powder
Tangela,24,Ancient Power
Tangela,28,Knock Off
Tangela,32,Giga Drain
Tangela,36,Sleep Powder
Tangela,40,Slam
Tangela,44,Tickle
Tangela,48,Power Whip
Tangela,52,Ingrain
Tangela,56,Grassy Terrain
Kangaskhan,1,Pound
Kangaskhan,1,Tail Whip
Kangaskhan,4,Growl
Kangaskhan,8,Fake Out
Kangaskhan,12,Bite
Kangaskhan,16,Stomp
Kangaskhan,20,Focus Energy
Kangaskhan,24,Headbutt
Kangaskhan,28,Sucker Punch
Kangaskhan,32,Double Hit
Kangaskhan,36,Crunch
Kangaskhan,40,Endure
Kangaskhan,44,Reversal
Kangaskhan,48,Outrage
Kangaskhan,52,Last Resort
Horsea,1,Water Gun
Horsea,1,Leer
Horsea,5,Smokescreen
Horsea,10,Twister
Horsea,15,Focus Energy
Horsea,20,Dragon Breath
Horsea,25,Bubble Beam
Horsea,30,Agility
Horsea,35,Water Pulse
Horsea,40,Dragon Pulse
Horsea,45,Hydro Pump
Horsea,50,Dragon Dance
Horsea,55,Rain Dance
Seadra,1,Water Gun
Seadra,1,Leer
Seadra,1,Smokescreen
Seadra,1,Twister
Seadra,15,Focus Energy
Seadra,20,Dragon Breath
Seadra,25,Bubble Beam
Seadra,30,Agility
Seadra,37,Water Pulse
Seadra,44,Dragon Pulse
Seadra,51,Hydro Pump
Seadra,58,Dragon Dance
Seadra,65,Rain Dance
Goldeen,1,Peck
Goldeen,1,Tail Whip
Goldeen,5,Supersonic
Goldeen,10,Water Pulse
Goldeen,15,Horn Attack
Goldeen,20,Agility
Goldeen,25,Aqua Ring
Goldeen,30,Flail
Goldeen,35,Waterfall
Goldeen,40,Soak
Goldeen,45,Megahorn
Goldeen,50,Horn Drill
Seaking,1,Peck
Seaking,1,Tail Whip
Seaking,1,Supersonic
Seaking,1,Water Pulse
Seaking,15,Horn Attack
Seaking,20,Agility
Seaking,25,Aqua Ring
Seaking,30,Flail
Seaking,37,Waterfall
Seaking,44,Soak
Seaking,51,Megahorn
Seaking,58,Horn Drill
Staryu,1,Tackle
Staryu,1,Harden
Staryu,4,Water Gun
Staryu,8,Confuse Ray
Staryu,12,Rapid Spin
Staryu,16,Minimize
Staryu,20,Swift
Staryu,24,Psybeam
Staryu,28,Brine
Staryu,32,Light Screen
Staryu,36,Power Gem
Staryu,40,Psychic
Staryu,44,Surf
Staryu,48,Recover
Staryu,52,Cosmic Power
Staryu,56,Hydro Pump
Starmie,1,Rapid Spin
Starmie,1,Minimize
Starmie,1,Swift
Starmie,1,Psybeam
Starmie,1,Brine
Starmie,1,Light Screen
Starmie,1,Power Gem
Starmie,1,Psychic
Starmie,1,Surf
Starmie,1,Recover
Starmie,1,Cosmic Power
Starmie,1,Hydro Pump
Starmie,1,Tackle
Starmie,1,Harden
Starmie,1,Water Gun
Starmie,1,Confuse Ray
Mr. Mime,1,Quick Guard
Mr. Mime,1,Wide Guard
Mr. Mime,1,Power Swap
Mr. Mime,1,Guard Swap
Mr. Mime,1,Pound
Mr. Mime,1,Copycat
Mr. Mime,1,Baton Pass
Mr. Mime,1,Encore
Mr. Mime,12,Confusion
Mr. Mime,16,Role Play
Mr. Mime,20,Protect
Mr. Mime,24,Recycle
Mr. Mime,28,Psybeam
Mr. Mime,32,Mimic
Mr. Mime,36,Light Screen
Mr. Mime,36,Reflect
Mr. Mime,36,Safeguard
Mr. Mime,40,Sucker Punch
Mr. Mime,44,Dazzling Gleam
Mr. Mime,48,Psychic
Mr. Mime,52,Teeter Dance
Scyther,1,Quick Attack
Scyther,1,Leer
Scyther,4,Fury Cutter
Scyther,8,False Swipe
Scyther,12,Wing Attack
Scyther,16,Double Team
Scyther,20,Double Hit
Scyther,24,Slash
Scyther,28,Focus Energy
Scyther,32,Agility
Scyther,36,Air Slash
Scyther,40,X-Scissor
Scyther,44,Swords Dance
Jynx,1,Sweet Kiss
Jynx,1,Lick
Jynx,1,Pound
Jynx,1,Powder Snow
Jynx,1,Copycat
Jynx,12,Confusion
Jynx,16,Covet
Jynx,20,Sing
Jynx,24,Fake Tears
Jynx,28,Ice Punch
Jynx,34,Psychic
Jynx,40,Lovely Kiss
Jynx,46,Mean Look
Jynx,52,Perish Song
Jynx,58,Blizzard
Electabuzz,1,Quick Attack
Electabuzz,1,Leer
Electabuzz,1,Thunder Shock
Electabuzz,1,Charge
Electabuzz,12,Swift
Electabuzz,16,Shock Wave
Electabuzz,20,Thunder Wave
Electabuzz,24,Screech
Electabuzz,28,Thunder Punch
Electabuzz,34,Discharge
Electabuzz,40,Low Kick
Electabuzz,46,Thunderbolt
Electabuzz,52,Light Screen
Electabuzz,58,Thunder
Electabuzz,64,Giga Impact
Magmar,1,Smog
Magmar,1,Leer
Magmar,1,Ember
Magmar,1,Smokescreen
Magmar,12,Clear Smog
Magmar,16,Flame Wheel
Magmar,20,Confuse Ray
Magmar,24,Scary Face
Magmar,28,Fire Punch
Magmar,34,Lava Plume
Magmar,40,Low Kick
Magmar,46,Flamethrower
Magmar,52,Sunny Day
Magmar,58,Fire Blast
Magmar,64,Hyper Beam
Pinsir,1,Vise Grip
Pinsir,1,Harden
Pinsir,4,Focus Energy
Pinsir,8,Bind
Pinsir,12,Seismic Toss
Pinsir,16,Bug Bite
Pinsir,20,Storm Throw
Pinsir,24,Double Hit
Pinsir,28,Vital Throw
Pinsir,32,X-Scissor
Pinsir,36,Strength
Pinsir,40,Swords Dance
Pinsir,44,Submission
Pinsir,48,Guillotine
Pinsir,52,Superpower
Tauros,1,Tackle
Tauros,1,Tail Whip
Tauros,5,Work Up
Tauros,10,Payback
Tauros,15,Assurance
Tauros,20,Horn Attack
Tauros,25,Scary Face
Tauros,30,Zen Headbutt
Tauros,35,Raging Bull
Tauros,40,Rest
Tauros,45,Swagger
Tauros,50,Thrash
Tauros,55,Double-Edge
Tauros,60,Giga Impact
Magikarp,1,Splash
Magikarp,15,Tackle
Magikarp,25,Flail
Gyarados,1,Flail
Gyarados,1,Splash
Gyarados,1,Tackle
Gyarados,1,Leer
Gyarados,1,Twister
Gyarados,Evo.,Bite
Gyarados,4,Whirlpool
Gyarados,8,Ice Fang
Gyarados,12,Brine
Gyarados,16,Scary Face
Gyarados,21,Waterfall
Gyarados,24,Crunch
Gyarados,28,Rain Dance
Gyarados,32,Aqua Tail
Gyarados,36,Dragon Dance
Gyarados,40,Hydro Pump
Gyarados,44,Hurricane
Gyarados,48,Thrash
Gyarados,52,Hyper Beam
Lapras,1,Growl
Lapras,1,Water Gun
Lapras,5,Sing
Lapras,10,Mist
Lapras,15,Life Dew
Lapras,20,Ice Shard
Lapras,25,Confuse Ray
Lapras,30,Water Pulse
Lapras,35,Brine
Lapras,40,Body Slam
Lapras,45,Ice Beam
Lapras,50,Rain Dance
Lapras,55,Hydro Pump
Lapras,60,Perish Song
Lapras,65,Sheer Cold
Ditto,1,Transform
Eevee,1,Covet
Eevee,1,Helping Hand
Eevee,1,Tackle
Eevee,1,Growl
Eevee,1,Tail Whip
Eevee,5,Sand Attack
Eevee,10,Quick Attack
Eevee,15,Baby-Doll Eyes
Eevee,20,Swift
Eevee,25,Bite
Eevee,30,Copycat
Eevee,35,Baton Pass
Eevee,40,Take Down
Eevee,45,Charm
Eevee,50,Double-Edge
Eevee,55,Last Resort
Vaporeon,1,Covet
Vaporeon,1,Swift
Vaporeon,1,Bite
Vaporeon,1,Copycat
Vaporeon,1,Baton Pass
Vaporeon,1,Take Down
Vaporeon,1,Charm
Vaporeon,1,Double-Edge
Vaporeon,1,Helping Hand
Vaporeon,1,Tackle
Vaporeon,1,Growl
Vaporeon,1,Tail Whip
Vaporeon,Evo.,Water Gun
Vaporeon,5,Sand Attack
Vaporeon,10,Quick Attack
Vaporeon,15,Baby-Doll Eyes
Vaporeon,20,Haze
Vaporeon,25,Water Pulse
Vaporeon,30,Aurora Beam
Vaporeon,35,Aqua Ring
Vaporeon,40,Muddy Water
Vaporeon,45,Acid Armor
Vaporeon,50,Hydro Pump
Vaporeon,55,Last Resort
Jolteon,1,Covet
Jolteon,1,Swift
Jolteon,1,Bite
Jolteon,1,Copycat
Jolteon,1,Baton Pass
Jolteon,1,Take Down
Jolteon,1,Charm
Jolteon,1,Double-Edge
Jolteon,1,Helping Hand
Jolteon,1,Tackle
Jolteon,1,Growl
Jolteon,1,Tail Whip
Jolteon,Evo.,Thunder Shock
Jolteon,5,Sand Attack
Jolteon,10,Quick Attack
Jolteon,15,Baby-Doll Eyes
Jolteon,20,Thunder Wave
Jolteon,25,Double Kick
Jolteon,30,Thunder Fang
Jolteon,35,Pin Missile
Jolteon,40,Discharge
Jolteon,45,Agility
Jolteon,50,Thunder
Jolteon,55,Last Resort
Flareon,1,Covet
Flareon,1,Swift
Flareon,1,Copycat
Flareon,1,Baton Pass
Flareon,1,Take Down
Flareon,1,Charm
Flareon,1,Double-Edge
Flareon,1,Helping Hand
Flareon,1,Tackle
Flareon,1,Growl
Flareon,1,Tail Whip
Flareon,Evo.,Ember
Flareon,5,Sand Attack
Flareon,10,Quick Attack
Flareon,15,Baby-Doll Eyes
Flareon,20,Smog
Flareon,25,Bite
Flareon,30,Fire Fang
Flareon,35,Fire Spin
Flareon,40,Lava Plume
Flareon,45,Scary Face
Flareon,50,Flare Blitz
Flareon,55,Last Resort
Porygon,1,Tackle
Porygon,1,Conversion
Porygon,5,Recycle
Porygon,10,Magnet Rise
Porygon,15,Thunder Shock
Porygon,20,Psybeam
Porygon,25,Conversion 2
Porygon,30,Agility
Porygon,35,Recover
Porygon,40,Discharge
Porygon,45,Tri Attack
Porygon,50,Double-Edge
Porygon,55,Lock-On
Porygon,60,Zap Cannon
Omanyte,1,Bind
Omanyte,1,Withdraw
Omanyte,5,Rollout
Omanyte,10,Sand Attack
Omanyte,15,Water Gun
Omanyte,20,Leer
Omanyte,25,Mud Shot
Omanyte,30,Ancient Power
Omanyte,35,Brine
Omanyte,41,Protect
Omanyte,45,Rock Blast
Omanyte,50,Surf
Omanyte,55,Shell Smash
Omanyte,60,Hydro Pump
Omastar,1,Crunch
Omastar,1,Bind
Omastar,1,Withdraw
Omastar,1,Rollout
Omastar,1,Sand Attack
Omastar,Evo.,Crunch
Omastar,15,Water Gun
Omastar,20,Leer
Omastar,25,Mud Shot
Omastar,30,Ancient Power
Omastar,35,Brine
Omastar,43,Protect
Omastar,49,Rock Blast
Omastar,56,Surf
Omastar,63,Shell Smash
Omastar,70,Hydro Pump
Kabuto,1,Absorb
Kabuto,1,Harden
Kabuto,5,Scratch
Kabuto,10,Sand Attack
Kabuto,15,Aqua Jet
Kabuto,20,Leer
Kabuto,25,Mud Shot
Kabuto,30,Ancient Power
Kabuto,35,Brine
Kabuto,41,Protect
Kabuto,45,Leech Life
Kabuto,50,Liquidation
Kabuto,55,Metal Sound
Kabuto,60,Stone Edge
Kabutops,1,Slash
Kabutops,1,Night Slash
Kabutops,1,Feint
Kabutops,1,Absorb
Kabutops,1,Harden
Kabutops,1,Scratch
Kabutops,1,Sand Attack
Kabutops,Evo.,Slash
Kabutops,15,Aqua Jet
Kabutops,20,Leer
Kabutops,25,Mud Shot
Kabutops,30,Ancient Power
Kabutops,35,Brine
Kabutops,43,Protect
Kabutops,49,Leech Life
Kabutops,56,Liquidation
Kabutops,63,Metal Sound
Kabutops,70,Stone Edge
Aerodactyl,1,Bite
Aerodactyl,1,Ancient Power
Aerodactyl,5,Supersonic
Aerodactyl,10,Wing Attack
Aerodactyl,15,Scary Face
Aerodactyl,20,Rock Slide
Aerodactyl,25,Roar
Aerodactyl,30,Crunch
Aerodactyl,35,Iron Head
Aerodactyl,40,Take Down
Aerodactyl,45,Stone Edge
Aerodactyl,50,Agility
Aerodactyl,55,Hyper Beam
Aerodactyl,60,Giga Impact
Snorlax,1,Recycle
Snorlax,1,Covet
Snorlax,1,Stockpile
Snorlax,1,Swallow
Snorlax,1,Screech
Snorlax,1,Fling
Snorlax,1,Metronome
Snorlax,1,Flail
Snorlax,1,Last Resort
Snorlax,1,Lick
Snorlax,1,Tackle
Snorlax,1,Defense Curl
Snorlax,1,Block
Snorlax,12,Yawn
Snorlax,16,Bite
Snorlax,20,Snore
Snorlax,20,Sleep Talk
Snorlax,20,Rest
Snorlax,24,Crunch
Snorlax,28,Body Slam
Snorlax,32,Heavy Slam
Snorlax,36,Amnesia
Snorlax,40,High Horsepower
Snorlax,44,Hammer Arm
Snorlax,48,Belly Drum
Snorlax,52,Belch
Snorlax,56,Giga Impact
Articuno,1,Gust
Articuno,1,Mist
Articuno,5,Powder Snow
Articuno,10,Reflect
Articuno,15,Ice Shard
Articuno,20,Agility
Articuno,25,Ancient Power
Articuno,30,Tailwind
Articuno,35,Freeze-Dry
Articuno,40,Roost
Articuno,45,Ice Beam
Articuno,50,Snowscape
Articuno,55,Hurricane
Articuno,60,Haze
Articuno,65,Blizzard
Articuno,70,Sheer Cold
Zapdos,1,Peck
Zapdos,1,Thunder Wave
Zapdos,5,Thunder Shock
Zapdos,10,Light Screen
Zapdos,15,Pluck
Zapdos,20,Agility
Zapdos,25,Ancient Power
Zapdos,30,Charge
Zapdos,35,Drill Peck
Zapdos,40,Roost
Zapdos,45,Discharge
Zapdos,50,Rain Dance
Zapdos,55,Thunder
Zapdos,60,Detect
Zapdos,65,Magnetic Flux
Zapdos,70,Zap Cannon
Moltres,1,Gust
Moltres,1,Leer
Moltres,5,Ember
Moltres,10,Safeguard
Moltres,15,Wing Attack
Moltres,20,Agility
Moltres,25,Ancient Power
Moltres,30,Incinerate
Moltres,35,Air Slash
Moltres,40,Roost
Moltres,45,Heat Wave
Moltres,50,Sunny Day
Moltres,55,Hurricane
Moltres,60,Endure
Moltres,65,Overheat
Moltres,70,Sky Attack
Dratini,1,Wrap
Dratini,1,Leer
Dratini,5,Twister
Dratini,10,Thunder Wave
Dratini,15,Dragon Tail
Dratini,20,Agility
Dratini,25,Slam
Dratini,31,Aqua Tail
Dratini,35,Dragon Rush
Dratini,40,Safeguard
Dratini,45,Rain Dance
Dratini,50,Dragon Dance
Dratini,55,Outrage
Dratini,60,Hyper Beam
Dragonair,1,Wrap
Dragonair,1,Leer
Dragonair,1,Twister
Dragonair,1,Thunder Wave
Dragonair,15,Dragon Tail
Dragonair,20,Agility
Dragonair,25,Slam
Dragonair,33,Aqua Tail
Dragonair,39,Dragon Rush
Dragonair,46,Safeguard
Dragonair,53,Rain Dance
Dragonair,60,Dragon Dance
Dragonair,67,Outrage
Dragonair,74,Hyper Beam
Dragonite,1,Wing Attack
Dragonite,1,Extreme Speed
Dragonite,1,Roost
Dragonite,1,Fire Punch
Dragonite,1,Thunder Punch
Dragonite,1,Wrap
Dragonite,1,Leer
Dragonite,1,Twister
Dragonite,1,Thunder Wave
Dragonite,Evo.,Hurricane
Dragonite,15,Dragon Tail
Dragonite,20,Agility
Dragonite,25,Slam
Dragonite,33,Aqua Tail
Dragonite,39,Dragon Rush
Dragonite,41,Outrage
Dragonite,46,Safeguard
Dragonite,53,Rain Dance
Dragonite,62,Dragon Dance
Dragonite,80,Hyper Beam
Mewtwo,1,Life Dew
Mewtwo,1,Disable
Mewtwo,1,Confusion
Mewtwo,1,Swift
Mewtwo,8,Ancient Power
Mewtwo,16,Psycho Cut
Mewtwo,24,Safeguard
Mewtwo,32,Amnesia
Mewtwo,40,Aura Sphere
Mewtwo,48,Psychic
Mewtwo,56,Power Swap
Mewtwo,56,Guard Swap
Mewtwo,64,Mist
Mewtwo,72,Psystrike
Mewtwo,80,Recover
Mewtwo,88,Future Sight
Mew,1,Pound
Mew,1,Reflect Type
Mew,10,Amnesia
Mew,20,Baton Pass
Mew,30,Ancient Power
Mew,40,Life Dew
Mew,50,Nasty Plot
Mew,60,Metronome
Mew,70,Imprison
Mew,80,Transform
Mew,90,Aura Sphere
Mew,100,Psychic
