pokemon,lvl,move
Evo.,Drain Punch,Fighting,Physical,75,100%,10
4,Mach Punch,Fighting,Physical,40,100%,30
8,Vacuum Wave,Fighting,Special,40,100%,30
12,Detect,Fighting,Status,—,—%,5
16,Bullet Punch,Steel,Physical,40,100%,30
21,Quick Guard,Fighting,Status,—,—%,15
24,Thunder Punch,Electric,Physical,75,100%,15
24,Ice Punch,Ice,Physical,75,100%,15
24,Fire Punch,Fire,Physical,75,100%,15
28,Agility,Psychic,Status,—,—%,30
32,Mega Punch,Normal,Physical,80,85%,20
36,Close Combat,Fighting,Physical,120,100%,5
40,Counter,Fighting,Physical,—,100%,20
44,Focus Punch,Fighting,Physical,150,100%,20
1,Lick,Ghost,Physical,30,100%,30
1,Defense Curl,Normal,Status,—,—%,40
6,Rollout,Rock,Physical,30,90%,20
12,Supersonic,Normal,Status,—,55%,20
18,Wrap,Normal,Physical,15,90%,20
24,Disable,Normal,Status,—,100%,20
30,Stomp,Normal,Physical,65,100%,20
36,Knock Off,Dark,Physical,65,100%,20
42,Screech,Normal,Status,—,85%,40
48,Slam,Normal,Physical,80,75%,20
54,Power Whip,Grass,Physical,120,85%,10
60,Belly Drum,Normal,Status,—,—%,10
1,Poison Gas,Poison,Status,—,90%,40
1,Tackle,Normal,Physical,40,100%,35
4,Smog,Poison,Special,30,70%,20
8,Smokescreen,Normal,Status,—,100%,20
12,Clear Smog,Poison,Special,50,—%,15
16,Assurance,Dark,Physical,60,100%,10
20,Sludge,Poison,Special,65,100%,20
24,Haze,Ice,Status,—,—%,30
28,Self-Destruct,Normal,Physical,200,100%,5
32,Sludge Bomb,Poison,Special,90,100%,10
36,Toxic,Poison,Status,—,90%,10
40,Belch,Poison,Special,120,90%,10
44,Explosion,Normal,Physical,250,100%,5
48,Memento,Dark,Status,—,100%,10
52,Destiny Bond,Ghost,Status,—,—%,5
1,Heat Wave,Fire,Special,95,90%,10
1,Poison Gas,Poison,Status,—,90%,40
1,Tackle,Normal,Physical,40,100%,35
1,Smog,Poison,Special,30,70%,20
1,Smokescreen,Normal,Status,—,100%,20
Evo.,Double Hit,Normal,Physical,35,90%,10
12,Clear Smog,Poison,Special,50,—%,15
16,Assurance,Dark,Physical,60,100%,10
20,Sludge,Poison,Special,65,100%,20
24,Haze,Ice,Status,—,—%,30
28,Self-Destruct,Normal,Physical,200,100%,5
32,Sludge Bomb,Poison,Special,90,100%,10
38,Toxic,Poison,Status,—,90%,10
44,Belch,Poison,Special,120,90%,10
50,Explosion,Normal,Physical,250,100%,5
56,Memento,Dark,Status,—,100%,10
62,Destiny Bond,Ghost,Status,—,—%,5
1,Tackle,Normal,Physical,40,100%,35
1,Tail Whip,Normal,Status,—,100%,30
5,Smack Down,Rock,Physical,50,100%,15
10,Bulldoze,Ground,Physical,60,100%,20
15,Horn Attack,Normal,Physical,65,100%,25
20,Scary Face,Normal,Status,—,100%,10
25,Stomp,Normal,Physical,65,100%,20
30,Rock Blast,Rock,Physical,25,90%,10
35,Drill Run,Ground,Physical,80,95%,10
40,Take Down,Normal,Physical,90,85%,20
45,Earthquake,Ground,Physical,100,100%,10
50,Stone Edge,Rock,Physical,100,80%,5
55,Megahorn,Bug,Physical,120,85%,10
60,Horn Drill,Normal,Physical,—,30%,5
1,Tackle,Normal,Physical,40,100%,35
1,Tail Whip,Normal,Status,—,100%,30
1,Smack Down,Rock,Physical,50,100%,15
1,Bulldoze,Ground,Physical,60,100%,20
Evo.,Hammer Arm,Fighting,Physical,100,90%,10
15,Horn Attack,Normal,Physical,65,100%,25
20,Scary Face,Normal,Status,—,100%,10
25,Stomp,Normal,Physical,65,100%,20
30,Rock Blast,Rock,Physical,25,90%,10
35,Drill Run,Ground,Physical,80,95%,10
40,Take Down,Normal,Physical,90,85%,20
47,Earthquake,Ground,Physical,100,100%,10
54,Stone Edge,Rock,Physical,100,80%,5
61,Megahorn,Bug,Physical,120,85%,10
68,Horn Drill,Normal,Physical,—,30%,5
1,Sweet Kiss,Fairy,Status,—,75%,10
1,Disarming Voice,Fairy,Special,40,—%,15
1,Covet,Normal,Physical,60,100%,25
1,Charm,Fairy,Status,—,100%,20
1,Pound,Normal,Physical,40,100%,35
1,Copycat,Normal,Status,—,—%,20
1,Defense Curl,Normal,Status,—,—%,40
4,Tail Whip,Normal,Status,—,100%,30
8,Echoed Voice,Normal,Special,40,100%,15
12,Life Dew,Water,Status,—,—%,10
16,Sing,Normal,Status,—,55%,15
20,Fling,Dark,Physical,—,100%,10
24,Take Down,Normal,Physical,90,85%,20
28,Heal Pulse,Psychic,Status,—,—%,10
32,Helping Hand,Normal,Status,—,—%,20
36,Light Screen,Psychic,Status,—,—%,30
40,Double-Edge,Normal,Physical,120,100%,15
44,Soft-Boiled,Normal,Status,—,—%,5
48,Last Resort,Normal,Physical,140,100%,5
52,Healing Wish,Psychic,Status,—,—%,10
1,Absorb,Grass,Special,20,100%,25
1,Bind,Normal,Physical,15,85%,20
4,Stun Spore,Grass,Status,—,75%,30
8,Growth,Normal,Status,—,—%,20
12,Mega Drain,Grass,Special,40,100%,15
16,Vine Whip,Grass,Physical,45,100%,25
20,Poison Powder,Poison,Status,—,75%,35
24,Ancient Power,Rock,Special,60,100%,5
28,Knock Off,Dark,Physical,65,100%,20
32,Giga Drain,Grass,Special,75,100%,10
36,Sleep Powder,Grass,Status,—,75%,15
40,Slam,Normal,Physical,80,75%,20
44,Tickle,Normal,Status,—,100%,20
48,Power Whip,Grass,Physical,120,85%,10
52,Ingrain,Grass,Status,—,—%,20
56,Grassy Terrain,Grass,Status,—,—%,10
